business_id,month,credit_score,funding_granted (£),product_used,months_on_platform,sector,region,default_risk_category,created_at,is_churned,engagement_count
SME_0001,2024-08-01,579,0.0,False,13,Retail,London,Medium,2023-07-02,False,100
SME_0001,2024-09-01,572,27763.33,True,14,Retail,London,Medium,2023-07-02,False,100
SME_0001,2024-10-01,546,0.0,True,15,Retail,London,Medium,2023-07-02,False,100
SME_0001,2024-11-01,553,0.0,True,16,Retail,London,Medium,2023-07-02,False,100
SME_0001,2024-12-01,531,0.0,True,17,Retail,London,Medium,2023-07-02,False,100
SME_0001,2025-01-01,549,0.0,True,18,Retail,London,Medium,2023-07-02,False,100
SME_0001,2025-02-01,557,13297.67,True,19,Retail,London,Medium,2023-07-02,False,100
SME_0001,2025-03-01,569,0.0,True,20,Retail,London,Medium,2023-07-02,False,100
SME_0001,2025-04-01,571,0.0,False,21,Retail,London,Medium,2023-07-02,False,100
SME_0001,2025-05-01,543,0.0,True,22,Retail,London,Medium,2023-07-02,False,100
SME_0001,2025-06-01,552,0.0,False,23,Retail,London,Medium,2023-07-02,False,100
SME_0001,2025-07-01,554,0.0,True,24,Retail,London,Medium,2023-07-02,False,100
SME_0002,2024-08-01,419,0.0,False,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2024-09-01,398,10505.81,True,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2024-10-01,407,16502.51,True,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2024-11-01,423,0.0,False,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2024-12-01,407,0.0,True,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2025-01-01,437,0.0,False,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2025-02-01,462,0.0,True,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2025-03-01,454,0.0,True,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2025-04-01,447,0.0,True,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2025-05-01,422,0.0,True,0,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2025-06-01,447,0.0,False,1,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0002,2025-07-01,454,0.0,True,2,Manufacturing,Midlands,Low,2025-05-27,False,122
SME_0003,2024-08-01,780,0.0,True,24,Retail,South East,Low,2022-08-05,False,103
SME_0003,2024-09-01,807,0.0,True,25,Retail,South East,Low,2022-08-05,False,103
SME_0003,2024-10-01,792,2441.12,False,26,Retail,South East,Low,2022-08-05,False,103
