business_id,sector,region,employees,annual_revenue_gbp,default_risk_category,created_at,opening_credit_score
SME_0001,Technology,South East,105,687632.89,Low,2024-01-18,749
SME_0002,Manufacturing,South East,69,517282.29,Medium,2021-12-25,596
SME_0003,Technology,Midlands,111,254751.77,Low,2022-04-21,711
SME_0004,Services,North West,36,135384.33,Medium,2022-08-09,570
SME_0005,Retail,Scotland,19,109013.58,High,2023-01-27,530
SME_0006,Healthcare,North West,135,379610.27,Medium,2023-04-10,660
SME_0007,Technology,North West,197,529718.53,Low,2024-06-11,659
SME_0008,Technology,North West,169,176490.76,Medium,2025-09-05,602
SME_0009,Retail,Scotland,117,351431.12,Medium,2021-11-16,599
SME_0010,Manufacturing,,9,566393.44,Medium,2023-07-06,625
SME_0011,Manufacturing,Scotland,197,609112.2,Medium,2022-06-10,629
SME_0012,Healthcare,London,90,1249716.14,Low,2022-06-10,633
SME_0013,Services,London,58,996663.01,Medium,2023-08-06,680
SME_0014,Technology,South East,178,163310.35,Low,2023-11-27,609
SME_0015,Manufacturing,South East,149,1481955.74,Low,2022-06-23,642
SME_0016,Retail,Scotland,150,152612.92,High,2024-03-24,427
SME_0017,Services,London,56,751044.41,Medium,2023-01-20,631
SME_0018,Retail,North West,198,250467.22,High,2021-11-25,453
SME_0019,Technology,London,91,201253.77,High,2022-06-02,524
SME_0020,Services,Midlands,106,96070.23,Low,2022-04-07,692
SME_0021,Technology,Midlands,150,367398.75,Low,2024-04-04,698
SME_0022,Manufacturing,London,132,88386.89,Medium,2023-12-02,557
SME_0023,Healthcare,South East,35,660770.78,Medium,2023-09-12,620
SME_0024,Healthcare,Scotland,61,871245.58,High,2023-08-25,530
SME_0025,Technology,Midlands,72,172400.06,Medium,2023-12-08,567
SME_0026,Retail,Scotland,189,565812.92,Low,2021-08-27,769
SME_0027,Services,London,143,211685.2,Low,2024-01-08,640
SME_0028,Retail,Scotland,73,166612.17,Medium,2022-06-06,474
SME_0029,Retail,Scotland,147,634826.15,Low,2022-10-14,636
SME_0030,Services,Midlands,147,287286.36,Low,2022-09-18,576
SME_0031,Technology,,79,1371209.34,Medium,2023-11-16,635
